name;address
222;R. Francisco Deslandes, 222 ,Belo Horizonte - MG, 30310-530
Alexandre’s Bar;R. David Alves do Vale, 68  , Santa Rosa, Belo Horizonte - MG, 31255-630
Andrade’s Beer;R. Dona Geni, 32 , Maria Helena, Belo Horizonte - MG, 31680-100
Armazém Santa Amélia;Rua da Sinfonia, 253 , Santa Amélia, Belo Horizonte - MG, 31560-420
Avalanche Bar e Restaurante;R. Doutor Álvaro Camargos, 1113 , São Belo Horizonte - MG, 31515-142
Azougue Fogo e Bar;Rua do Ouro, 835  , Serra, Belo Horizonte - MG, 30220-000
Baiúca;R. Piauí, 1884 , Funcionários, Belo Horizonte - MG, 30150-321
Bar Bambú;R. Divisa Nova, 670 , Belo Horizonte - MG, 30550-330
Bar Bendita Baderna;R. Silva Fortes, 47  , União, Belo Horizonte - MG, 31160-320
Bar da Cintia;R. Pastor Rui Franco, 257 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-230
Bar da Fia;R. dos Astecas, 2722 , Santa Mônica, Belo Horizonte - MG, 31530-300
Bar da Gisa;Rua Maria Ferreira da Silva, 367 , Belo Horizonte - MG, 31920-350
Bar da Lu;R. Geralda Marinho, 41 , São João Batista (Venda Nova), Belo Horizonte - MG, 31515-420
Bar da Praça;Rua Oeste, 517 , Calafate, Belo Horizonte - MG, 30411-312
,Bar da Silvânia;R. Soares Nogueira, 801 , Camargos, Belo Horizonte - MG, 30520-330
Bar do Bartolomeu;R. Arthur Luchesi, 356 , Santa Helena (Barreiro), Belo Horizonte - MG, 30642-140
Bar do Bem;Rua Vicentina Coutinho Camargos, 100 , Álvaro Camargos, Belo Horizonte - MG, 30860-130
Bar do Dedinho;Avenida Guarapari, 872 , Belo Horizonte - MG, 31555-000
Bar do João (São João Batista);R. Geralda Marinho, 117 , Belo Horizonte - MG, 31515-420
Bar do Kim;Rua Júlio de Castilho, 1071 , Palmeiras, Belo Horizonte - MG, 30570-080
Bar do Momô;Avenida Coronel José Benjamim, 777 , Belo Horizonte - MG, 30720-430
Bar do Nelson;R. Vicente Risola, 1000 , Santa Inês, Belo Horizonte - MG, 31080-160
Bar do Peixinho;Avenida Bernardo de Vasconcelos, 1824 , Belo Horizonte - MG, 31150-000
Bar do Primo;Avenida Amazonas, 4649 , Nova Suíça, Belo Horizonte - MG, 30421-169
Bar do Regis;R. Gávea, 422 , Jardim América, Belo Horizonte - MG, 30421-340
Bar do Tião;Avenida Doutor Cristiano Guimarães, 2570 , Planalto, Belo Horizonte - MG, 31741-161
Bar dos Meninos;Rua Lindolfo Deodoro, 503 - A , Salgado Filho, Belo Horizonte - MG, 30550-006
Bar Du Du;R. Vinte e Oito de Setembro, 229 , Esplanada, Belo Horizonte - MG, 30280-230
Bar Du Magrelo;Rua São Felipe, 21  , Belo Horizonte - MG,  31030-290
Bar e Restaurante Bom Sabor;R. Java, 386  , Nova Suíça, Belo Horizonte - MG, 30421-228
Bar e Restaurante do Branco;Rua Pitangui, 3197 , Belo Horizonte - MG, 31030-211
Bar Estabelecimento;R. Monte Alegre, 160 , Serra, Belo Horizonte - MG, 30240-230
Bar Junto Juntinho;Rua Cura D’Ars, 542 , Prado, Belo Horizonte - MG, 30411-200
Bar Mania Mineira;Rua Paracatu, 1099 , Santo Agostinho, Belo Horizonte - MG, 30180-091
Bar Pompéu;R. São Miguel, 779 , Itapoã, Belo Horizonte - MG, 31710-750
Bar Stella;Av. Saramenha, 1599 , Guarani, Belo Horizonte - MG, 31840-220
Bar Temático Sta. Teresa;R. Pirite, 187  , Santa Teresa, Belo Horizonte - MG, 31010-420
Barrigudinha Buteco;Av. dos Engenheiros, 1071 , Alípio de Melo, Belo Horizonte - MG, 30840-372
Barzim dos Amigos;R. Lindolfo de Azevedo, 1263 , Jardim América, Belo Horizonte - MG, 30421-382
Bazin Bar;R. Min. Orozimbo Nonato, 1053, Dona Clara, Belo Horizonte - MG, 31260-155
Beco Restaurante;R. dos Tamoios, 232 , Centro, Belo Horizonte - MG, 30120-050
Bella Bar e Restaurante;Rua dos Odontólogos, 422  , Belo Horizonte - MG, 30840-200
Boi Major;R. Major Lopes, 7 , São Pedro, Belo Horizonte - MG, 30330-050
Boteco 86;R. Jacarina, 86 , Padre Eustáquio, Belo Horizonte - MG,  30720-180
Botequim Buritis;Rua Vitório Magnavacca, 39 , Buritis, Belo Horizonte - MG, 30455-730
Buteco do Lili;R. Líbero Badaró, 493 , Dona Clara, Belo Horizonte - MG, 31255-620
Buteco Tô D’Boa;Av. Virgílio de Melo Franco, 400 , Jardim Atlântico, Belo Horizonte - MG, 31555-120
Buteco’s Bar;R. Ernesto Braga, 2 , Jardim Atlântico, Belo Horizonte - MG, 31560-000
Butiquim 325;Avenida Francisco Sá, 325 ,Belo Horizonte - MG, 30411-145
Butiquim On Cê Tá?;Av. Gen. Olímpio Mourão Filho, 754 , Itapoã, Belo Horizonte - MG, 31710-690
Café Palhares;Rua dos Tupinambás, 638 , Centro, Belo Horizonte - MG, 30120-070
Camisola Bar;R. Luther King, 242 , Cidade Nova, Belo Horizonte - MG, 31170-100
Cantina Arte Quintal;R. Realengo, 150 , Caiçara, Belo Horizonte - MG, 30750-430
Cantinho da Baiana;R. Itaité, 422 , São Geraldo, Belo Horizonte - MG, 31050-550
Casa Mojubá;Rua Mármore, 817 , Belo Horizonte - MG, 31010-220
Chapa Mágica;Av. Waldomiro Lobo, 305 , Guarani, Belo Horizonte - MG, 31814-620
Choperia América Norte Sul;R. Chico Rei, 190 , Estrela do Oriente, Belo Horizonte - MG, 30580-300
Chopp da Esquina;R. Garret, 263 , Nova Granada, Belo Horizonte - MG, 30431-355
Cipoeiro Bar;Rua Desembargador José Satyro, 451 , Belo Horizonte - MG, 30840-490
Comida & Prosa;Av. Francisco Sá, 306 , Belo Horizonte - MG, 30411-145
Companhia do Dino;Avenida Joaquim Clemente, 682 , Floramar, Belo Horizonte - MG, 31840-340
Conectados Bar;Av. Francisco Sá, 280 , Prado, Belo Horizonte - MG, 30411-145
COSMOS;R. Vicente Risola, 1305 , Santa Inês, Belo Horizonte - MG, 31080-160
Deck Boi na Brasa;R. Desembargador José Satyro, 302  , Manacás, Belo Horizonte - MG, 30840-470
Dona Dora;R. Rio de Janeiro, 1205 , Centro, Belo Horizonte - MG, 30160-041
Dona Ju Gastro Bar;Rua dos Borges, 1520  , Jardim Vitória, Belo Horizonte - MG, 31975-270
Dona Suica;Av. João Samaha, 390 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-100
Empório Laís;Rua Olavo Andrade, 195 , Belo Horizonte - MG, 31130-270
Espetinho do Boi;R. São Paulo da Cruz, 357 , Barreiro, Belo Horizonte - MG, 30642-060
Espetinho do Tilias;Praça Manoel Batista Baía, 235  , Belo Horizonte - MG, 31660-190
Espetinho Rei e Família;Av. Guarapari, 1281 ,  Belo Horizonte - MG, 31560-300
Espetinho São Pedro QUIÓ;Rua Cristina, 870 , Belo Horizonte - MG, 30330-130
Espettinho.com;R. Eli Seabra Filho, 510 , Buritis, Belo Horizonte - MG, 30575-740
Galpão Flor do Campo;Rua Coronel Otávio Diniz, 449 , Belo Horizonte - MG, 30270-360
Garagge Vintage;Av. Doutor Cristiano Guimarães, 1258 , Planalto, Belo Horizonte - MG, 31720-300
Geraldin da Cida;Rua Contria, 1459 , Grajaú, Belo Horizonte - MG, 30431-245
Golden Grill;R. Amílcar Cabral, 515 , Milionários, Belo Horizonte - MG, 30620-250
Graffica Bar;Av. Augusto de Lima, 233, Belo Horizonte - MG, 30160-906
Iracema bar;R. Almandina, 56 , Santa Teresa, Belo Horizonte - MG, 31010-080
Ivo Grill;Rua Professor Tristão da Cunha, 183 , Planalto, Belo Horizonte - MG, 31720-520
Já Tô Inno;R. Benjamim Dias, 379 , Barreiro, Belo Horizonte - MG, 30640-520
Juzé Bar;R. Carlos Sá, 180, Jardim Atlântico, Belo Horizonte - MG, 31550-200
Köbes Emporium Bar;R. Professor Raimundo Nonato, 31 - A , Santa Tereza, Belo Horizonte - MG, 31010-520
