name;latitude;longitude;address
222;-19.9456523;-43.9295759;R. Francísco Deslandes, 222 ,Belo Horizonte - MG, 30310-530
Alexandre’s Bar;-19.8634011;-43.9441692;R. David Alves do Vale, 68  , Santa Rosa, Belo Horizonte - MG, 31255-630
Andrade’s Beer;-19.8013309;-43.9965515;R. Dona Geni, 32 , Maria Helena, Belo Horizonte - MG, 31680-100
Armazém Santa Amélia;-19.8327892;-43.9732667;Rua da Sinfonia, 253 , Santa Amélia, Belo Horizonte - MG, 31560-420
Avalanche Bar e Restaurante;-19.8234084;-43.9562441;R. Doutor Álvaro Camargos, 1113 , São Belo Horizonte - MG, 31515-142
Azougue Fogo e Bar;-19.9335106;-43.9234402;Rua do Ouro, 835  , Serra, Belo Horizonte - MG, 30220-000
Baiúca;-19.9343945;-43.9276278;R. Piauí, 1884 , Funcionários, Belo Horizonte - MG, 30150-321
Bar Bambú;-19.9440127;-43.9840632;R. Divisa Nova, 670 , Belo Horizonte - MG, 30550-330
Bar Bendita Baderna;-19.8811789;-43.9272578;R. Silva Fortes, 47  , União, Belo Horizonte - MG, 31160-320
Bar da Cintia;-19.8168676;-43.9694756;R. Pastor Rui Franco, 257 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-230
Bar da Fia;-19.8299231;-43.9791637;R. dos Astecas, 2722 , Santa Mônica, Belo Horizonte - MG, 31530-300
Bar da Gisa;-19.8773115;-43.916571;Rua Maria Ferreira da Silva, 367 , Belo Horizonte - MG, 31920-350
Bar da Lu;-19.8268831;-43.9645853;R. Geralda Marinho, 41 , São João Batista (Venda Nova), Belo Horizonte - MG, 31515-420
Bar da Praça;-19.9230609;-43.969218;Rua Oeste, 517 , Calafate, Belo Horizonte - MG, 30411-312
,Bar da Silvânia;-19.9402357;-44.0216093;R. Soares Nogueira, 801 , Camargos, Belo Horizonte - MG, 30520-330
Bar do Bartolomeu;-19.9894517;-44.0100935;R. Arthur Luchesi, 356 , Santa Helena (Barreiro), Belo Horizonte - MG, 30642-140
Bar do Bem;-19.9153621;-44.0062588;Rua Vicentina Coutinho Camargos, 100 , Álvaro Camargos, Belo Horizonte - MG, 30860-130
Bar do Dedinho;-19.8400936;-43.9776251;Avenida Guarapari, 872 , Belo Horizonte - MG, 31555-000
Bar do João (São João Batista);-19.8268831;-43.9645853;R. Geralda Marinho, 117 , Belo Horizonte - MG, 31515-420
